"Step","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MIN","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MAX"
"905","319631.1912079103","319631.1912079103","319631.1912079103"
"907","304701.04014306626","304701.04014306626","304701.04014306626"
"909","302327.84095637215","302327.84095637215","302327.84095637215"
"911","312031.17875822895","312031.17875822895","312031.17875822895"
"913","305006.89520596084","305006.89520596084","305006.89520596084"
"915","300794.6071735518","300794.6071735518","300794.6071735518"
"917","307572.1590489434","307572.1590489434","307572.1590489434"
"919","310215.1538189715","310215.1538189715","310215.1538189715"
"921","315863.57318311866","315863.57318311866","315863.57318311866"
"923","314412.34649263124","314412.34649263124","314412.34649263124"
"925","310011.9070547363","310011.9070547363","310011.9070547363"
"927","313413.13687923603","313413.13687923603","313413.13687923603"
"929","310947.6962233288","310947.6962233288","310947.6962233288"
"931","313515.62061178713","313515.62061178713","313515.62061178713"
"933","307968.77340811206","307968.77340811206","307968.77340811206"
"935","304421.7652218178","304421.7652218178","304421.7652218178"
